NYISO, Date , Low , Average , High , AvgChg 
NYISO REF Real-time LBMP - flat,4-Oct,16.9,24.4,37.71,5.64
West LBMP - Zone A [Peak HE8-HE23],4-Oct,17.54,27.64,39.15,6.48
West LBMP - Zone A [Off Peak],4-Oct,17.3,19.47,23.88,2.82
HUDSON V LBMP - Zone G [Peak HE8-HE23],4-Oct,1.76,37.39,99.25,13.84
HUDSON V LBMP - Zone G [Off Peak],4-Oct,18.22,20.33,25.3,3.72
N.Y.C. LBMP - Zone J [Peak HE8-HE23],4-Oct,25.35,45.72,115.67,19.26
N.Y.C. LBMP - Zone J [Off Peak],4-Oct,18.45,20.63,25.76,3.72
West Day Ahead LBMP - Zone A [Peak HE8-HE23],5-Oct,20.34,26.84,37.43,-5.12
West Day Ahead LBMP - Zone A [Off Peak],5-Oct,15.68,18.84,21.11,-1.97
HUDSON V Day Ahead LBMP - Zone G [Peak HE8-HE23],5-Oct,24.79,30.01,42.42,-4.37
HUDSON V Day Ahead LBMP - Zone G [Off Peak],5-Oct,17.84,20.61,25.34,-0.79
N.Y.C. Day Ahead LBMP - Zone J [Peak HE8-HE23],5-Oct,25.36,31.9,45,-6.43
N.Y.C. Day Ahead LBMP - Zone J [Off Peak],5-Oct,18.13,20.99,25.99,-0.96
PJM, Date , Low , Average , High , AvgChg 
AEP DAYTON HUB LMP [Peak HE8-HE23],4-Oct,16.98,35.29,76.79,-30.21
AEP DAYTON HUB LMP [Off Peak],4-Oct,13.6,20.18,38.44,0.46
AEP GEN HUB LMP [Peak HE8-HE23],4-Oct,17.49,35.54,76.02,-27.43
AEP GEN HUB LMP [Off Peak],4-Oct,13.45,19.91,38.02,0.46
ATSI GEN HUB LMP [Peak HE8-HE23],4-Oct,20.93,38.76,84.58,-24.26
ATSI GEN HUB LMP [Off Peak],4-Oct,13.31,19.62,36.77,0.5
CHICAGO HUB LMP [Peak HE8-HE23],4-Oct,15.1,27.66,73.86,-10.87
CHICAGO HUB LMP [Off Peak],4-Oct,12.78,19.34,35.79,0.99
DOMINION HUB LMP [Peak HE8-HE23],4-Oct,-44.44,36.54,142.11,-29.62
DOMINION HUB LMP [Off Peak],4-Oct,14.26,21.68,43.35,0.48
EASTERN HUB LMP [Peak HE8-HE23],4-Oct,6.28,22.78,107.91,14.92
EASTERN HUB LMP [Off Peak],4-Oct,5.13,13.25,19.13,1.92
N ILLINOIS HUB LMP [Peak HE8-HE23],4-Oct,14.99,28.72,73.28,-16.92
N ILLINOIS HUB LMP [Off Peak],4-Oct,12.75,19.25,35.7,0.93
NEW JERSEY HUB LMP [Peak HE8-HE23],4-Oct,15.06,27.24,105.58,8.52
NEW JERSEY HUB LMP [Off Peak],4-Oct,11.21,14.62,18.5,1.44
OHIO HUB LMP [Peak HE8-HE23],4-Oct,16.96,34.83,76.61,-31.02
OHIO HUB LMP [Off Peak],4-Oct,13.59,20.16,38.31,0.46
WEST INT HUB LMP [Peak HE8-HE23],4-Oct,-24.81,32.22,86.55,-37.25
WEST INT HUB LMP [Off Peak],4-Oct,13.65,20.37,39.34,0.47
WESTERN HUB LMP [Peak HE8-HE23],4-Oct,23.9,49.9,115.63,-24.64
WESTERN HUB LMP [Off Peak],4-Oct,13.89,20.79,40.42,0.46
PJM - WEST HUB Day Ahead LMP [Peak HE8-HE23],5-Oct,34.38,49.23,77.14,-12.36
PJM - WEST HUB Day Ahead LMP [Off Peak],5-Oct,18.67,24.59,37.33,3.01
ISO NE, Date , Low , Average , High , AvgChg 
ISO NE 5 Minute LMP - flat,4-Oct,13.81,43.7,472.02,27.6
Internal Hub Hourly LMP - Hub [Peak HE8-HE23],4-Oct,20.18,56.64,283.64,39.35
Internal Hub Hourly LMP - Hub [Off Peak],4-Oct,15.36,17.61,23.17,3.9
Mass. Boston Hourly LMP [Peak HE8-HE23],4-Oct,20.31,57.08,285,39.71
Mass. Boston Hourly LMP [Off Peak],4-Oct,15.43,17.72,23.4,4.04
SE Mass. Hourly LMP [Peak HE8-HE23],4-Oct,20.18,56.53,283.62,39.31
SE Mass. Hourly LMP [Off Peak],4-Oct,15.25,17.5,23.03,3.82
WC Mass. Hourly LMP [Peak HE8-HE23],4-Oct,20.24,56.74,283.83,39.38
WC Mass. Hourly LMP [Off Peak],4-Oct,15.49,17.73,23.3,3.9
Internal Hub Day Ahead LMP [Peak HE8-HE23],5-Oct,21.57,28.58,42.71,-4.89
Internal Hub Day Ahead LMP [Off Peak],5-Oct,17.1,19.8,25.72,-0.5
Mass. Boston Day Ahead LMP [Peak HE8-HE23],5-Oct,21.85,28.96,43.34,-4.85
Mass. Boston Day Ahead LMP [Off Peak],5-Oct,17.18,19.92,25.97,-0.57
SE Mass. Day Ahead LMP [Peak HE8-HE23],5-Oct,21.5,28.56,42.79,-4.86
SE Mass. Day Ahead LMP [Off Peak],5-Oct,17.11,19.7,25.59,-0.49
WC Mass. Day Ahead LMP [Peak HE8-HE23],5-Oct,21.7,28.69,42.75,-4.97
WC Mass. Day Ahead LMP [Off Peak],5-Oct,17.17,19.94,25.84,-0.51
MISO, Date , Low , Average , High , AvgChg 
Illinois Hub Hourly LMP [Peak HE7-HE22],4-Oct,20.19,26.73,36.8,-18.32
Illinois Hub Hourly LMP [Off Peak],4-Oct,13.27,18.78,26.13,-2.43
Michigan Hub Hourly LMP [Peak HE7-HE22],4-Oct,21.26,29.09,39.41,-20.13
Michigan Hub Hourly LMP [Off Peak],4-Oct,13.07,18.71,26.49,-0.8
Minnesota Hub Hourly LMP [Peak HE7-HE22],4-Oct,17.52,28.61,41.39,-11.91
Minnesota Hub Hourly LMP [Off Peak],4-Oct,3.56,16.76,35.24,-0.76
ONT Interface Hourly LMP [Peak HE7-HE22],4-Oct,20.92,29.45,38.67,-16.45
ONT Interface Hourly LMP [Off Peak],4-Oct,13.65,19.45,27.18,-2.99
PJMC Interface Hourly LMP [Peak HE7-HE22],4-Oct,20.54,27.57,37.47,-15.19
PJMC Interface Hourly LMP [Off Peak],4-Oct,13.25,18.54,26.18,-0.98
ERCOT, Date , Low , Average , High , AvgChg 
HB_HOUSTON Settle Price,4-Oct,18.13,36.29,428.7,11.76
HB_NORTH Settle Price,4-Oct,18.16,36.99,427.49,13.58
HB_SOUTH Settle Price,4-Oct,18.11,36.09,430.29,4.24
HB_WEST Settle Price,4-Oct,18.04,37.74,427.59,9.38
SPP, Date , Low , Average , High , AvgChg 
SPP SOUTH HUB RTBM LMP [Peak HE7-HE22],4-Oct,15.96,37.54,190.29,25.82
SPP SOUTH HUB RTBM LMP [Off Peak],4-Oct,0,22.67,39.41,24.02
SPP NORTH HUB RTBM LMP [Peak HE7-HE22],4-Oct,8.19,27.81,186.95,32.01
SPP NORTH HUB RTBM LMP [Off Peak],4-Oct,-24.12,5.35,24.56,20.48
SPP SOUTH HUB Day Ahead LMP [Peak HE7-HE22],5-Oct,23.44,33.82,46.02,-0.86
SPP SOUTH HUB Day Ahead LMP [Off Peak],5-Oct,20.56,22.54,27.75,1
SPP NORTH HUB Day Ahead LMP [Peak HE7-HE22],5-Oct,2.45,10.73,24.7,-15.81
SPP NORTH HUB Day Ahead LMP [Off Peak],5-Oct,7.89,13.62,15.66,6.64
CAISO, Date , Low , Average , High , AvgChg 
RTM Energy Component [Peak HE7-HE22],4-Oct,5,41.31,149.39,1.04
RTM Energy Component [Off Peak],4-Oct,38.9,47.18,82.56,1.89
NP15_GEN-APND RTM [Peak HE7-HE22],4-Oct,19.16,50.49,146.51,0.89
NP15_GEN-APND RTM [Off Peak],4-Oct,39.42,48.93,85.27,1.48
SP15_GEN-APND RTM [Peak HE7-HE22],4-Oct,-41.91,37.76,137.62,-7.82
SP15_GEN-APND RTM [Off Peak],4-Oct,46.67,64.9,113.27,-12.88
ZP26_GEN-APND RTM [Peak HE7-HE22],4-Oct,-30.7,38.3,140.39,1.79
ZP26_GEN-APND RTM [Off Peak],4-Oct,38.85,48.88,82.94,1.01
DAM Energy Component [Peak HE7-HE22],5-Oct,39.41,70.9,151.31,14.65
DAM Energy Component [Off Peak],5-Oct,54.14,62.25,73.96,8.2
NP15_GEN-APND DAM [Peak HE7-HE22],5-Oct,42.49,69.13,143.97,12.99
NP15_GEN-APND DAM [Off Peak],5-Oct,50.48,58.77,70.69,7.54
SP15_GEN-APND DAM [Peak HE7-HE22],5-Oct,24.66,60.23,144.94,13.83
SP15_GEN-APND DAM [Off Peak],5-Oct,55.36,62.03,70.55,8.4
ZP26_GEN-APND DAM [Peak HE7-HE22],5-Oct,32.19,63.37,140.55,17.28
ZP26_GEN-APND DAM [Off Peak],5-Oct,50.27,58.43,70.26,7.88
IESO ($CAD) EPT, Date , Low , Average , High , AvgChg 
HOEP Price [Peak HE8-HE23],4-Oct,30.32,35.83,41.79,-12.06
HOEP Price [Off Peak],4-Oct,10.91,18.6,27.71,-6.36
Day Ahead PreDispatch,5-Oct,13.34,43.64,79.79,-6.46
NYSI - UnCnstr ENGY,4-Oct,5.69,30.08,53.73,-10.12
MISI- UnCnstr ENGY,4-Oct,5.69,30.33,53.73,-10.13
MNSI - UnCnstr ENGY,4-Oct,5.69,32.58,69.78,-39.71
AESO Alberta ($CAD), Date , Low , Average , High , AvgChg 
Hourly Actual,4-Oct,0,31.46,46.71,-24.79
Hourly Actual [Peak HE7-HE22],4-Oct,24.22,36.44,46.71,-19.62
Hourly Actual [Off Peak],4-Oct,0,21.49,44.41,-35.13
